sku,nombre,imagen,precio,frecuencia,inventario_tipo,categoria,existencias,descripcion,precio_original,modelo_caja,descuento,tamano_altavoz,caracteristicas
"RCI-001","Revista Muy Interesante Mensual","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","114","RCI-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-002","Revista National Geographic","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","128","RCI-002","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-003","Revista Scientific American","assets/img/Revistas/istockphoto-609437196-612x612.webp","130","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","175","RCI-003","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-004","Revista Muy Interesante Ciencia","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","114","RCI-004","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-005","NatGeo Coleccionista Espacio","assets/img/Revistas/istockphoto-609437196-612x612.webp","150","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","202","RCI-005","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-006","Revista Cómo Funciona Especial","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","128","RCI-006","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-007","Revista Astronomía Práctica","assets/img/Revistas/istockphoto-609437196-612x612.webp","110","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","148","RCI-007","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-008","Revista Arqueología Mexicana","assets/img/Revistas/istockphoto-609437196-612x612.webp","98","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","132","RCI-008","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-009","Muy Interesante Especial Historia","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","114","RCI-009","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-010","NatGeo Especial Antiguo Egipto","assets/img/Revistas/istockphoto-609437196-612x612.webp","150","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","202","RCI-010","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-011","Revista Ciencia y Desarrollo","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","101","RCI-011","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-012","Revista Quo Ciencia Moderna","assets/img/Revistas/istockphoto-609437196-612x612.webp","70","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","94","RCI-012","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-013","Revista Aeroespacio Militar","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","128","RCI-013","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-014","Revista Geo Mundo de la Tierra","assets/img/Revistas/istockphoto-609437196-612x612.webp","80","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","108","RCI-014","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-015","Muy Interesante Preguntas y Respuestas","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","114","RCI-015","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-016","NatGeo Especial Dinosaurios","assets/img/Revistas/istockphoto-609437196-612x612.webp","150","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","202","RCI-016","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-017","Revista Scientific American Especial","assets/img/Revistas/istockphoto-609437196-612x612.webp","140","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","189","RCI-017","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-018","Revista Historia de Iberia","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","128","RCI-018","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-019","Muy Interesante Especial Cerebro","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","114","RCI-019","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RCI-020","NatGeo Especial Volcanes","assets/img/Revistas/istockphoto-609437196-612x612.webp","150","Inmediato","Outlet","revistas-ciencia","12","Producto premium de la categoría Ciencia y Espacio en liquidación y oferta.","202","RCI-020","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-001","Revista Vogue Edición México","assets/img/Revistas/istockphoto-609437196-612x612.webp","120","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","162","RMD-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-002","Revista Cosmopolitan Moda","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","101","RMD-002","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-003","Revista Elle Moda Contemporánea","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","128","RMD-003","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-004","Revista Harper's Bazaar","assets/img/Revistas/istockphoto-609437196-612x612.webp","110","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","148","RMD-004","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-005","Revista Marie Claire Tendencias","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","114","RMD-005","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-006","Revista Vogue Colecciones Lujo","assets/img/Revistas/istockphoto-609437196-612x612.webp","160","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","216","RMD-006","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-007","Revista Cosmopolitan Belleza","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","101","RMD-007","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-008","Revista Elle Especial Accesorios","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","128","RMD-008","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-009","Revista Glamour Estilo de Vida","assets/img/Revistas/istockphoto-609437196-612x612.webp","65","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","87","RMD-009","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-010","Revista InStyle Tendencias Moda","assets/img/Revistas/istockphoto-609437196-612x612.webp","80","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","108","RMD-010","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-011","Revista Vogue Hombres Colección","assets/img/Revistas/istockphoto-609437196-612x612.webp","120","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","162","RMD-011","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-012","Revista Cosmopolitan Especial Novias","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","128","RMD-012","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-013","Revista Elle Decoración Interiores","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","128","RMD-013","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-014","Revista Harper's Bazaar Especial","assets/img/Revistas/istockphoto-609437196-612x612.webp","130","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","175","RMD-014","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-015","Revista Marie Claire Novias Lujo","assets/img/Revistas/istockphoto-609437196-612x612.webp","110","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","148","RMD-015","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-016","Revista Vogue Novias Colección","assets/img/Revistas/istockphoto-609437196-612x612.webp","160","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","216","RMD-016","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-017","Revista Cosmopolitan Hombres","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","101","RMD-017","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-018","Revista Elle Colecciones París","assets/img/Revistas/istockphoto-609437196-612x612.webp","120","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","162","RMD-018","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-019","Revista Glamour Especial Piel","assets/img/Revistas/istockphoto-609437196-612x612.webp","65","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","87","RMD-019","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RMD-020","Revista InStyle Especial Cabello","assets/img/Revistas/istockphoto-609437196-612x612.webp","80","Inmediato","Outlet","revistas-moda","12","Producto premium de la categoría Moda y Tendencias en liquidación y oferta.","108","RMD-020","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-001","Revista NatGeo Viajes Completa","assets/img/Revistas/istockphoto-609437196-612x612.webp","95","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","128","RVJ-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-002","Revista Viajar Destinos Exóticos","assets/img/Revistas/istockphoto-609437196-612x612.webp","90","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","121","RVJ-002","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-003","Revista Condé Nast Traveler","assets/img/Revistas/istockphoto-609437196-612x612.webp","110","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","148","RVJ-003","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-004","Revista Lonely Planet México","assets/img/Revistas/istockphoto-609437196-612x612.webp","85","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","114","RVJ-004","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-005","Revista México Desconocido","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","101","RVJ-005","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-006","NatGeo Viajes Especial Playas","assets/img/Revistas/istockphoto-609437196-612x612.webp","120","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","162","RVJ-006","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-007","Revista Viajar Rutas de Europa","assets/img/Revistas/istockphoto-609437196-612x612.webp","90","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","121","RVJ-007","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-008","Revista Condé Nast Especial Hoteles","assets/img/Revistas/istockphoto-609437196-612x612.webp","140","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","189","RVJ-008","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-009","Revista Lonely Planet Especial Asia","assets/img/Revistas/istockphoto-609437196-612x612.webp","110","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","148","RVJ-009","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-010","Revista México Desconocido Rutas","assets/img/Revistas/istockphoto-609437196-612x612.webp","75","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","101","RVJ-010","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-011","NatGeo Viajes Especial Sudamérica","assets/img/Revistas/istockphoto-609437196-612x612.webp","120","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","162","RVJ-011","25% OFF","N/A","Garantía oficial y entrega inmediata."
"RVJ-012","Revista Viajar Guía de Cruceros","assets/img/Revistas/istockphoto-609437196-612x612.webp","90","Inmediato","Outlet","revistas-viajes","12","Producto premium de la categoría Viajes y Cultura en liquidación y oferta.","121","RVJ-012","25% OFF","N/A","Garantía oficial y entrega inmediata."
